Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-11-13 00:00:00+09:00,57410.0,57790.0,56930.0,57020.0,767200,0.0,0.0
2025-11-14 00:00:00+09:00,57430.0,57690.0,56220.0,56500.0,1272200,0.0,0.0
2025-11-17 00:00:00+09:00,54000.0,54710.0,52620.0,53510.0,1631700,0.0,0.0
2025-11-18 00:00:00+09:00,53900.0,54300.0,53020.0,53520.0,1175500,0.0,0.0
2025-11-19 00:00:00+09:00,54070.0,54830.0,53310.0,53870.0,1943100,0.0,0.0
2025-11-20 00:00:00+09:00,54190.0,55370.0,53800.0,54620.0,1066700,0.0,0.0
2025-11-21 00:00:00+09:00,53670.0,55100.0,53650.0,54800.0,1282000,0.0,0.0
2025-11-25 00:00:00+09:00,55800.0,55990.0,54710.0,55990.0,1138900,0.0,0.0
2025-11-26 00:00:00+09:00,55810.0,57210.0,55500.0,56990.0,946200,0.0,0.0
2025-11-27 00:00:00+09:00,57000.0,57340.0,56750.0,57260.0,511100,0.0,0.0
2025-11-28 00:00:00+09:00,57150.0,57180.0,56620.0,57140.0,534700,0.0,0.0
2025-12-01 00:00:00+09:00,57100.0,57140.0,55680.0,55950.0,736600,0.0,0.0
2025-12-02 00:00:00+09:00,56400.0,57040.0,56280.0,56950.0,654300,0.0,0.0
2025-12-03 00:00:00+09:00,57150.0,57270.0,56350.0,56580.0,635700,0.0,0.0
2025-12-04 00:00:00+09:00,56240.0,58100.0,56220.0,58100.0,890600,0.0,0.0
2025-12-05 00:00:00+09:00,57590.0,57650.0,56460.0,56740.0,715800,0.0,0.0
2025-12-08 00:00:00+09:00,56610.0,56680.0,55870.0,56150.0,567900,0.0,0.0
2025-12-09 00:00:00+09:00,55580.0,55870.0,55290.0,55670.0,554700,0.0,0.0
2025-12-10 00:00:00+09:00,55950.0,56470.0,55530.0,56080.0,740800,0.0,0.0
2025-12-11 00:00:00+09:00,56470.0,56740.0,55400.0,55550.0,723400,0.0,0.0
2025-12-12 00:00:00+09:00,56000.0,57560.0,55390.0,57120.0,1323900,0.0,0.0
2025-12-15 00:00:00+09:00,56440.0,57480.0,56440.0,57190.0,533600,0.0,0.0
2025-12-16 00:00:00+09:00,57030.0,57190.0,56220.0,56570.0,626600,0.0,0.0
2025-12-17 00:00:00+09:00,57100.0,57330.0,56420.0,56710.0,718200,0.0,0.0
2025-12-18 00:00:00+09:00,56440.0,56790.0,56150.0,56390.0,565500,0.0,0.0
2025-12-19 00:00:00+09:00,56970.0,56970.0,55980.0,56350.0,1005900,0.0,0.0
2025-12-22 00:00:00+09:00,56910.0,57740.0,56810.0,57410.0,745500,0.0,0.0
2025-12-23 00:00:00+09:00,56900.0,57530.0,56680.0,56990.0,660000,0.0,0.0
2025-12-24 00:00:00+09:00,57150.0,57410.0,56480.0,56480.0,685000,0.0,0.0
2025-12-25 00:00:00+09:00,56590.0,56620.0,56080.0,56080.0,364600,0.0,0.0
2025-12-26 00:00:00+09:00,56400.0,57480.0,56400.0,57270.0,844900,0.0,0.0
2025-12-29 00:00:00+09:00,57050.0,57050.0,56220.0,56390.0,919200,0.0,0.0
2025-12-30 00:00:00+09:00,56610.0,56940.0,56510.0,56940.0,742000,0.0,0.0
2026-01-05 00:00:00+09:00,57400.0,58230.0,57170.0,57180.0,1039100,0.0,0.0
2026-01-06 00:00:00+09:00,57390.0,58410.0,57150.0,58400.0,1109400,0.0,0.0
2026-01-07 00:00:00+09:00,57890.0,57980.0,56800.0,56800.0,1053200,0.0,0.0
2026-01-08 00:00:00+09:00,56970.0,57290.0,56390.0,56700.0,1155400,0.0,0.0
2026-01-09 00:00:00+09:00,59990.0,62750.0,59910.0,62750.0,3503400,0.0,0.0
2026-01-13 00:00:00+09:00,65880.0,65950.0,63400.0,63820.0,2123800,0.0,0.0
2026-01-14 00:00:00+09:00,64590.0,66500.0,64050.0,65160.0,2035200,0.0,0.0
2026-01-15 00:00:00+09:00,65160.0,65810.0,63720.0,64010.0,1543700,0.0,0.0
2026-01-16 00:00:00+09:00,63040.0,63460.0,62540.0,62650.0,1032200,0.0,0.0
2026-01-19 00:00:00+09:00,61860.0,62300.0,61480.0,62300.0,1126200,0.0,0.0
